the_geom,Name,Descriptio
POINT (-76.60521179437637 39.28337483665311),1912 - Pier 5 Lighthouse,1212
POINT (-76.60462 39.283761),1913 - Pier 6 Pavillion,1213
POINT (-76.63668 39.287619),1985-HOLLINS-CARROLLTON,1350
POINT (-76.58778 39.297525),1945-McElderry-Chester,1429
POINT (-76.6287703888 39.2997098869),2001-McCulloh 553 Dolphin St,1501
POINT (-76.6282466472 39.2994741658),2002-McCulloh 569 Dolphin St,1502
POINT (-76.6278198126 39.2995690325),2003-McCulloh 520 Hoffman St,1503
POINT (-76.6282128202 39.3001948569),2004-McCulloh 517 Dolphin St,1504
POINT (-76.6270148409 39.2994445713),2005-McCulloh 534 Preston St,1505
POINT (-76.6277109067 39.300440885),2006-McCulloh 503 Dolphin St,1506
POINT (-76.6279515809 39.2990360227),2007-McCulloh 535 Hoffman St,1507
POINT (-76.6273129223 39.2985525119),2008-McCulloh 570 Preston St,1508
POINT (-76.6269140382 39.2988624383),2009-McCulloh 556 Preston St,1509
POINT (-76.6265228709 39.2990795615),2010-McCulloh 516 Preston St,1510
POINT (-76.6266011363 39.2993649117),2011-McCulloh 514 Preston St,1511
POINT (-76.6264790015 39.299944205),2012-McCulloh 1020 Druid Hill Rd,1512
POINT (-76.6259568964 39.3020182455),2013-McCulloh 1135 Tiffany Ct,1513
POINT (-76.625438252 39.3016029967),2014-McCulloh 1101 Tiffany Ct,1514
POINT (-76.62537447000759 39.30068399897763),2015-McCulloh 1035 Tiffany Ct,1515
POINT (-76.6244635924 39.3008151081),2016-McCulloh 1001 Tiffany Ct,1516
POINT (-76.6251184875 39.3005504917),2017-McCulloh 440 Oxford Ct,1517
POINT (-76.6264967193 39.3013736878),2018-McCulloh 443 Manse Ct,1518
POINT (-76.6271579964 39.3011098319),2019-McCulloh 1134 Stoddard Ct,1519
POINT (-76.6266532116 39.3007018995),2020-McCulloh 1100 Stoddard CT,1520
POINT (-76.626190747 39.3003258812),2021-McCulloh 1034 Stoddard Ct,1521
POINT (-76.625654182 39.2998910227),2022-McCulloh 1000 Stoddard Ct,1522
POINT (-76.6247474938 39.2999781031),2023- McCulloh 442 Walton Ct,1523
POINT (-76.6244783596 39.2989138943),2024-McCulloh 900 Stoddard Ct,1524
POINT (-76.645597161 39.3072756718),2102-Gilmor-1638 Bruce Ct,1602
POINT (-76.6451063846 39.3078620282),2106-1679 Bakbury Ct,1606
POINT (-76.6444488131 39.3074507205),2110-1606 Vincent Ct,1610
POINT (-76.6441246569 39.3073932159),2112-1641 Vincent Ct,1612
POINT (-76.6442991088 39.3068188366),2109-1600 Vincent Ct,1609
POINT (-76.6447164386 39.3068001197),2108-Gilmor-1600 Mountmor Ct,1608
POINT (-76.64497297781604 39.30679367066666),2105-1601 Bakbury Ct,1605
POINT (-76.6445150205 39.3057859556),2114-1605-2 Spray Ct,1614
POINT (-76.6440916961 39.3059009898),2115-1601-8 Spray Ct,1615
POINT (-76.6435599253 39.3057260041),2117-1519 Presser Ct,1617
POINT (-76.6439059639 39.3054551286),2116-1500 Pressman Ct,1616
POINT (-76.6440863631 39.305191826),2119-1638 Balmor Ct,1619
POINT (-76.6446301159 39.3052478738),2120-1458 Mountmor Ct,1620
POINT (-76.644510936 39.3048090595),2121-1428 Mountmor Ct,1621
POINT (-76.6434085854 39.304574796),2125-1601 Booker Ct,1625
POINT (-76.6442812851 39.3044347827),2123-1401 Mountmor Ct,1623
POINT (-76.6442252772 39.3040667402),2127-1631 Lorman Ct,1627
POINT (-76.6438455305 39.3037600683),2130-1628 Delano Ct,1630
POINT (-76.6438630163 39.304000985),2126-1629 Lorman Ct,1626
POINT (-76.6440483349 39.3044729982),2124-1639 Booker Ct,1624
POINT (-76.6061664384 39.3012529811),2201-Latrobe 800 Abbott ct,1701
POINT (-76.6050176161 39.301329715),2202-Latrobe 856 Abbott Ct,1702
POINT (-76.6056869228 39.3010088572),2203-Latrobe 818 WebbCt,1703
POINT (-76.6059576314 39.3002994414),2204-Latrobe 800 McAleer Ct,1704
POINT (-76.6052971148 39.3003119142),2205-Latrobe 834 McAleer Ct,1705
POINT (-76.6047406199 39.3000418737),2206-Latrobe 864 McAleer Ct,1706
POINT (-76.6052816304 39.2999771435),2207-Latrobe 831 McAleer Ct - Unit) - 1289,1707
POINT (-76.6058995376 39.2999501721),2208-Latrobe 859 Homewood Ave,1708
POINT (-76.6057097275 39.2993874996),2209-Latrobe 820 Hillman Ct,1709
POINT (-76.6060758059 39.2993496933),2210-Latrobe 819 Hillman Ave,1710
POINT (-76.6043042487 39.3013080691),2211-Latrobe 819 Homewood Ave,1711
POINT (-76.6037329303 39.300778554),2212 Latrobe 916 Webb ct,1712
POINT (-76.6043028539 39.3004376374),2213- Latrobe 921 Webb ct,1713
POINT (-76.6037847596 39.3002226321),2214-Latrobe 922 Ashland ct,1714
POINT (-76.604397337 39.2998221948),2215- Latrobe 859 McAleer Ct,1715
POINT (-76.6039010428 39.2992073681),2216-Latrobe ct 943 Wilmot,1716
POINT (-76.6027394913 39.3013607878),2217-Latrobe 1000 Abbott Ct,1717
POINT (-76.6027147878 39.300600819),2218-Latrobe 1101 Webb CT,1718
POINT (-76.6028714242 39.3002718001),2219-Latrobe 1000 Ashland ct,1719
POINT (-76.6031175261 39.2998685472),2220-Latrobe 1020 McAleer ct,1720
POINT (-76.6035472525 39.2997155135),2221-Latrobe 1001 McAleer ct,1721
POINT (-76.602135833 39.3001485892),2222-Latrobe 1116 McAleer Ct,1722
POINT (-76.6022393402 39.2999091532),2223-Latrobe 1130 McAleer Ct,1723
POINT (-76.6027287109 39.2992878313),2224-Latrobe 1101Wilmot Ct,1724
POINT (-76.604706 39.300228),2225-Latrobe 901 valley ct,1725
POINT (-76.604706 39.300228),2226-Latrobe 901 valley ct,1726
POINT (-76.604636 39.29965),2227-Latrobe 901 McAleer Ct,1727
POINT (-76.5983139856 39.2889742398),2301-Perkins 200 Spring Ct,1801
POINT (-76.5980440382 39.287503727),2302-Perkins 299 Spring Ct,1802
POINT (-76.5975136321 39.2880273743),2303-Perkins 264 Ballou Ct,1803
POINT (-76.5972128062 39.2886074523),2304-Perkins 229 Ballou Ct,1804
POINT (-76.5964394079 39.288149116),2305-Perkins 269 Dallas Ct,1805
POINT (-76.5957734031 39.28864223),2306-Perkins 231 Mason ct,1806
POINT (-76.5957529869 39.2876245462),2307-Perkins 299 Mason Ct,1807
POINT (-76.5956307911 39.2876798677),2308-Perkins 295 Mason Court,1808
POINT (-76.5950165111 39.2891128213),2309-Perkins 200 Herring Ct,1809
POINT (-76.5953375322 39.2880371173),2310-Perkins 270 Herring Ct,1810
POINT (-76.5948263201 39.2876651606),2311-Perkins 299 Herring Ct,1811
POINT (-76.5981564528 39.2864913947),2312-Perkins 354 Spring Ct,1812
POINT (-76.596843 39.286468),217 Bank and Caroline,217
POINT (-76.5977388249 39.2869517079),2313-Perkins Community Bldg,1813
POINT (-76.5974326449 39.2873558717),2314-Perkins 1413 Gough st,1814
POINT (-76.5971263143 39.2871109486),2315-Perkins 319 Ballou Ct,1815
POINT (-76.5973706291 39.2868832013),2316-Perkins 330 Ballou ct,1816
POINT (-76.5966261795 39.2870146689),2317-Perkins 326 Dallas Ct,1817
POINT (-76.5960446372 39.2868506334),2318-Perkins 336 Mason Ct,1818
POINT (-76.5957165457 39.2869796386),2319-Perkins 329 Mason Ct,1819
POINT (-76.5952611737 39.2870654561),2320-Perkins 326 Herring Ct,1820
POINT (-76.6040430381 39.2945785712),2401-231 Orleans St,1901
POINT (-76.6030845205 39.2945427961),2402-310 Forrest St,1902
POINT (-76.6018525995 39.2937395048),2403-1110 New Hope Cir,1903
POINT (-76.6027038003 39.2932459545),2404-1021 New Hope Cir,1904
POINT (-76.6032342085 39.2939118563),2405-1008 New Hope Cir,1905
POINT (-76.601830969 39.2929457986),2406-1124 Colvin St.,1906
POINT (-76.6038930508 39.2936321888),2407-215 Saint Mathews St.,1907
POINT (-76.603336867 39.2926182397),2408-1100 Colvin St.,1908
POINT (-76.6021399962 39.2942348796),2409-SE.Corner of N.Tot Lot,1909
POINT (-76.6022129024 39.29329526),2410-NW. Corner of S.Tot Lot,1910
POINT (-76.6031810765 39.2930222098),2411-SE. Corner of W. Tot Lot,1911
POINT (-76.6013260817 39.2934312526),2412- Courtyard Play Area,1912
POINT (-76.6001393683 39.2934731262),2413-NE. Elderly Bldg. Central Ave.,1913
POINT (-76.6012283354 39.293917434),2414-NE. Community Center,1914
POINT (-76.6001159428 39.2928534162),2415-SE. Elderly Bldg. Central Ave.,1915
POINT (-76.6006969936 39.2928157636),2416-SW. Elderly Bldg. Fayette St.,1916
POINT (-76.6006844896 39.2930004994),2417-Elderly Bldg. Court Yard,1917
POINT (-76.6029833333 39.2918166667),2418-Youth Center Fayette St.,1918
POINT (-76.6022267019 39.2920336344),2419-Daycare Center 1106 Fayette St.,1919
POINT (-76.6019978447 39.2924814959),2420-Daycare Center Play Area,1920
POINT (-76.6007341298 39.2934769883),2421-NW Senior Center,1921
POINT (-76.6361888888889 39.28735555555556),1986 Boyd St Side Entrance,
POINT (-76.63516111111112 39.28746666666667),1987 Arlington Ave East Entrance,
POINT (-76.59343333333332 39.28352222222222),226 aliceanna and broadway west,226
POINT (-76.68254166666667 39.35383333333333),839 3500 Northern Pkwy(E&T),839
POINT (-76.61423888888888 39.29520555555556),78-St Paul and Franklin,78
POINT (-76.61358784200524 39.28646977265915),1924 -  Pratt/Light,1424
POINT (-76.61754444444443 39.28636944444444),1923 - Pratt/Sharp,1423
POINT (-76.640359447638 39.30829679060109),1101 - Pennsylvania - Baker,1101
POINT (-76.63938897742757 39.30749505870838),1103 - Pennsylvania - Gold,1102
POINT (-76.6384299343576 39.30671945353741),1104 - Pennsylvania - Bloom,1104
POINT (-76.63747448203168 39.30586944223781),1106 - Pennsylvania - Presstman,1106
POINT (-76.63801740986247 39.30558949828878),1105 -Freemont - Presstman,1105
POINT (-76.63662011132276 39.30519574404727),1109 - Pennsylvania - Robert,1109
POINT (-76.63543773476431 39.30591732598181),1108 - Division - Robert,1108
POINT (-76.63749054713664 39.30462960780963),1110 - Freemont - Robert,1110
POINT (-76.63458211987803 39.3035731625793),1112 - Pennsylvania - Wilson,1112
POINT (-76.63413345647851 39.30310856236742),1114 - Pennsylvania - Pitcher,1114
POINT (-76.63588256275133 39.30170510062247),1115 - Fremont - Pitcher,1115
POINT (-76.63265592932589 39.30195561065715),1118 - Pennsylvania - Mosher,1118
POINT (-76.64562240235104 39.30783962867702),2101 Behind 1638 Bruce Ct,1601
POINT (-76.64555851397863 39.30676856525924),2103 Behind 1600 Bruce Ct,1603
POINT (-76.64523892740945 39.306768699594),2104-1605 Bruce Ct,1604
POINT (-76.64467223740317 39.30787884014206),2107-1678 Mountmor Ct,1607
POINT (-76.64400996813869 39.30789761729893),2111-1679 Vincent Ct,1611
POINT (-76.64464309932373 39.30621419719377),2113-1600 Spray Ct,1613
POINT (-76.64334440901054 39.30525916821063),2118-Prestman St & Gilmor St,1618
POINT (-76.64386956197787 39.30496870034295),2122 Behind1629 Balmor Ct,1622
POINT (-76.64452954824094 39.30401996240907),2128-1649 Lorman Ct,1628
POINT (-76.64451078947553 39.30377614743436),2129-1658 Delano Ct,1629
POINT (-76.64328635533143 39.30379381104869),2131-1600 Delano Ct,1631
POINT (-76.61539166666667 39.29028611111111),79 - Charles & Fayette,79
POINT (-76.6540948761361 39.30956689439192),737 - North and Bentalou,737
POINT (-76.6026063676475 39.31177833927831),1201 North and Aisquith,
POINT (-76.59937607354041 39.31193614965031),1202 North and Harford,
POINT (-76.59513265295733 39.31221052098746),1203 North and Broadway,
POINT (-76.59170300376306 39.31226029615829),1204 North and Wolfe,
POINT (-76.59041842735647 39.31231670646029),1205 North and Washington,
POINT (-76.5886731666187 39.31239469409911),1206 North and Chester,
POINT (-76.58746959023556 39.31244913292262),1207 North and Collington,
POINT (-76.58378524852453 39.31254007393724),1209 North and Port,
POINT (-76.58403041048656 39.31271332956563),1208 North and Belair,
POINT (-76.58311610602921 39.31276174761437),1210 North and Milton,
POINT (-76.5808862454073 39.31532134026922),1401 Belair and Ravenwood,
POINT (-76.58025192124266 39.31590204783952),1402 Belair and Elmora,
POINT (-76.57952628919054 39.31647791599674),1403 Belair and Lyndale,
POINT (-76.57892259257733 39.31705549658236),1404 Belair and Elmley,
POINT (-76.5771425501327 39.3187572701527),1405 Belair(across from shopping center),
POINT (-76.57589217575828 39.31968222409318),1406 Belair and Cliftmont,
POINT (-76.57470542171735 39.32066599756703),1407 Belair and Mareco,
POINT (-76.57465176704801 39.32092062836623),1408 Belair and Clifton Park Terrace,
POINT (-76.57369283410719 39.32159690195721),1409 Belair and Erdman,
POINT (-76.56479913556821 39.32871157698948),1410 Belair and Sheldon,
POINT (-76.59906881859646 39.31297000870627),1301 Harford and 20th,
POINT (-76.59791601982953 39.31419386059974),1302 Harford and Broadway,
POINT (-76.59700112232869 39.31515566959352),1303 Harford and Darley,
POINT (-76.59636314051392 39.31571960996741),1304 Harford and Cliftview,
POINT (-76.59547050390702 39.31663757470525),1305 Harford and 25th,
POINT (-76.59420055589743 39.31783548392114),1306 Harford(harbor city school),
POINT (-76.593276398356 39.31863760465416),1307 Harford and Montpelier,
POINT (-76.59275515705134 39.31914221620374),1308 Harford and Homestead,
POINT (-76.5910808808932 39.32079736982417),1309 Harford and Abbotston,
POINT (-76.59063888340752 39.3212028056569),1310 Harford and Alameda,
POINT (-76.58990177382661 39.32186787267688),1311 Harford and Tivoly,
POINT (-76.58924262866057 39.32235170282339),1312 Harford and Fenwick,
POINT (-76.58847863386814 39.32293026138491),1313 Harford and Hugo,
POINT (-76.58386666666667 39.30089444444444),626 Montofrd - Ashland,
POINT (-76.62332398447882 39.24626665343226),351-Carver Rd Front of Rec Center,351
POINT (-76.58652222222221 39.29653888888889),627-Collington & Jefferson,627
POINT (-76.58004722222222 39.29681111111111),628-Jefferson & Glover,628
POINT (-76.66688888888889 39.34038888888889),840-Park Heights & Oakford,840
POINT (-76.60660833333333 39.29895555555555),2501-Greenmount and Madison,
POINT (-76.60952222222221 39.32348055555556),534 - Greenmount - 29th,
POINT (-76.60943333333333 39.32604444444445),536 - Greenmount - 31st,
POINT (-76.60938333333333 39.32708611111112),537 - Greenmount - 32nd,
POINT (-76.60941944444444 39.32826388888889),538 - Greenmount - 33rd,
POINT (-76.64434722222222 39.30634722222222),2132 - 1521 Mountmor,
POINT (-76.61559779240923 39.29641315161354),2601 N Charles St - Center St,2601
POINT (-76.6157197934735 39.29851804503426),2602 N Charles St - Madison St,2602
POINT (-76.61573202681544 39.29975306759935),2603 N Charles St - Read Ave,2603
POINT (-76.61848996338053 39.30033640180055),2604 Park Ave - Read St,2604
POINT (-76.61580229236847 39.30110555555555),2605 N Charles - Eager St,2605
POINT (-76.6158820031692 39.30246152784923),2606 N Charles St - Chase St,2606
POINT (-76.61595468588028 39.30352159992223),2607 N Charles St - E Biddle St,2607
POINT (-76.61603324504988 39.30459525863834),2608 N Charles St - Preston St,2608
POINT (-76.61604841927274 39.30547574829475),2609 N Charles - Mt Royal Ave,2609
POINT (-76.61631391186941 39.30882272425739),2610 N Charles St - Lanvale St,2610
POINT (-76.61644554627678 39.31108681621197),2611 N Charles St - North Ave,2611
POINT (-76.61653886163006 39.31229561523002),2612 N Charles St - 20th St,2612
